id,label,weighted_indegree,weighted_outdegree
206309,A. Christensen,8.0,335.0
205485,M. Dahoud,0.0,289.0
11500,Raffael,2.0,436.0
39479,L. Stindl,0.0,582.0
4610,O. Wendt,0.0,626.0
16894,F. Johnson,2.0,324.0
66692,A. Dominguez,0.0,55.0
16087,H. Nordtveit,4.0,400.0
11341,Y. Sommer,4.0,449.0
16491,I. Traore,2.0,224.0
102647,G. Xhaka,4.0,338.0
115078,J. Drmic,40.0,171.0
156709,T. Hazard,6.0,246.0
205180,N. Elvedi,0.0,241.0
126631,J. Korb,0.0,366.0
65256,T. Jantschke,0.0,39.0
175582,B. Hrgota,0.0,19.0
206094,M. Schulz,0.0,8.0
16901,R. Brouwers,0.0,6.0
185121,J. Hofmann,0.0,31.0
127794,M. Hinteregger,2.0,162.0
101192,P. Herrmann,0.0,21.0
